action,life,power,attack,defence,fall.defence_up,liedown.time,airjuggle,sparkno,guard.sparkno,ko.echo,volume,intpersistindex,floatpersistindex,var(21),ignorehitpause,ground.hittime,statetype,add,runjump.back,postype,movecamera,fall,air.velocity,edge,attr,trigger1,color,airjump.fwd,keyctrl,triggerall,"root,palno",walk.fwd,walk.back,player,air.hittime,hitflag,priority,air.type,juggle,x,jump.neu,ctrl,velset,persistent,palno,stand.friction,(gametime % 5),physics,ontop,ground.type,(gametime % 10),height,anim,trigger2,airjump.num,givepower,movehit,run.back,reversal.attr,trigger9,pausemovetime,vfacing,damage,run.fwd,ground.front,forceair,crouch.friction,air.front,ampl,palfx.add,guardflag,airjump.height,mid.pos,type,hitsound,guardsound,backedgedist,freq,helpertype,trigger7,scale,stateno,getpower,time,absolute,value,id,flag,jump.fwd,airguard.velocity,v,movetime,animtype,trigger4,trigger3,trigger5,air.back,facing,under,ground.velocity,movetype,name,movecontact,airjump.neu,unhittable,yaccel,trigger6,ground.back,trigger13,pausetime,animtime,ground.slidetime,teamside,head.pos,roundstate,ownpal,(vel y > 0),slot,trigger12,kill,removeongethit,attack.dist,shadowoffset,removetime,p1stateno,proj.attack.dist,animelem,darken,palfx.time,runjump.fwd,pos,bindtime,random,proj.doscale,statedef,draw.offset,sound,invertall,poweradd,yscale,state,sprpriority,"root,stateno",y,"enemynear,movetype",trigger10,mul,airjump.back,supermovetime,p2stateno,trigger11,trigger8,jump.back,p2defmul,sparkxy,xscale
PosAdd,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PosAdd,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"15,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
1,,,,,,,,s7000,s8000,,,,,,,30,,,,,,,"-1.4,-3",,", NA",7,,,,,,,,,15,MAFD,"3, Hit",High,,,,,,,,,,,,High,,,,,,,,,,,,,"10, 5",,,,,,,,MA,,,HitDef,"s20, 0","s20, 6",,,,,,,,,,,,,,"-1.9,-.8",,,Light,,,,,,,-1,,,,,,,,,,"5, 5",,15,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,200,,,,,,,,,,,,,,"-20, -76",
3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeState,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,0,"0,0",,,,,S,,,,,210,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,10,,,2,,,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"11,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
1,,,,,,,,s7000,s8000,,,,,,,50,,,,,,,"-1.4,-3",,", NA",4,,,,,,,,,15,MAFD,"3, Hit",High,,,,,,,,,,,,High,,,,,,,,,,,,,"40, 15",,,,,,,,MA,,,HitDef,"s20, 2","s20, 6",,,,,,,,,,,,,,"-1.9,-.8",,,Light,,,,,,,-8,,,,,,,,,,"10, 10",,15,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,200,,,,,,,,,,,,,,"-20, -80",
3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeState,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,0,"0,0",,,,,S,,,,,220,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,10,,,2,,,,,,,,,,,,,,
PosAdd,,,,,,,,,,,,,,,,,,,,,,,,,,5 gteq 0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PosAdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 gteq 0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"11,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"11,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
1,,,,,,,,s7010,s8000,,,,,,,60,,,,,,,"-1.4,-3",,"S, NA",9,,,,,,,,,15,MAF,"3, Hit",High,,,,,,,,,,,,High,,,,16,,,,,,,,,"20, 15",,,,,,,,MA,,,HitDef,"s20, 4","s20, 6",,,,,,,,,,,,,,"-1.9,-.8",,,Light,,,,,,,-5,,,,,,,,,,"12, 12",,15,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,200,,,,,,,,,,,,,,"-30, -90",
3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeState,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,0,"0,0",,,,,S,,,,,230,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,,,10,,,2,,,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"11,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
1,,,,,,,,s7010,s8000,,,,,,,50,,,,,,1,"-1.4,-3",,", NA",0,,,,,,,,,15,MAFD,"3, Hit",High,,,,,,,,,,,,Trip,,,,,,,,,,,,,"30, 10",,,,,,,,LA,,,HitDef,"s20, 3","s20, 6",,,,,,,,0,,,,,,"-1.9,-.8",,,Light,,,,,,,"-1.5,-2",,,,,,,,,,"10, 10",,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,"-10, -20",
3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeState,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,0,"0,0",,,,,S,,,,,235,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,10,,,2,,,,,,,,,,,,,,
AssertSpecial,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AssertSpecial,,,,,,,,,,,,,,unguardable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
NotHitBy,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NotHitBy,,,,,,,,,,1,,"SCA,NA,SA,HA,NP,SP,HP,NT,ST,HT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"12,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
Width,,,,,,,,,,,,,,,1,,,,,,,,,"0,0",,1,,,,,,,,"70,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
SuperPause,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,s8500,,,,,,,,,,,,,,,,,,,,,SuperPause,,,,,,,,,,20,,,,,,,,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,"-16,-10",,,,,,"S4,59",,-3000,,0,,,,,,,,,,,,,1,,
1,,,,,,,,s6140,s8000,,,,,,,40,,,,,,,"-1.4,-5",,"S, ST",6,,,,,,,,,15,MAFD,"3, Hit",High,,,,,,,,,,,,high,,,,,,,,,,,,,"0, 0",,,,,,,,MA,,,HitDef,"s4, 16","s20, 6",,,,,,,,,,,,,,"-1.9,-.8",,,Light,,,,,,,"0,0",,,,,,,,,,"50, 50",,15,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,200,,,,,,,,,,,,,,"60, -30",
EnvShake,,,,,,,,,,,,,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,EnvShake,,,,175,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
TargetBind,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,TargetBind,,,,,,,,,,1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,0",,,,,,,,,,0,,,,,,,,,,,,,,,
Helper,,,,,,,,,,,,,,,,,,,,p2,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,Helper,,,,,normal,,,238,,,,,238,,,,,,,,,,,1,,,,"""238""",,,,,,,,,,,,,,0,,,,,,,,,,,,,,,"0,0",,,,,,,,,,0,,,,,,,,0,,,,,,,
TargetState,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,NumTarget,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,TargetState,,,,,,,,,,,,236,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
ScreenBound,,,,,,,,,,,,,,,,,,,,,"0,0",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ScreenBound,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeState,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,0",,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,,,,,,,-1,,,,,,,,,,,,,,
state a,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,turn,,,,,,,,,,0,,,,,,,,,,,,,,"enemy,facing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,s,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeAnim2,,,,,,,,,,0,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,,,,,,,,,,,,,,,
state a,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,velADD,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,
Spark,,,,,,,,,,,,,,,,,,,,back,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,F72,,,,,,,,,,,,,,,,,,,,,Explod,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0, floor (screenpos y) - 50",,,,,,,,,,1027,3,,,,,,,,,,,,,,
LifeSet,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lifeadd,,,0,,,,,,,,1,-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
EnvShake,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,EnvShake,,,0,176,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
ChangeAnim2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Changestate,,,0,,,,,,,,,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,,,,,,,,,,,,,,,,,,,,,
EnvShake,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,EnvShake,,,,176,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
